label,frequency
ball.n.01,22
bed.n.01,188
book.n.01,221
bush.n.01,54
cabinet.n.01,27
chair.n.01,102
computer.n.01,21
doll.n.01,37
doodle.n.01,73
door.n.01,123
drawer.n.01,21
canopy.n.01,193
fabric.n.01,60
fence.n.01,53
carpet.n.01,59
glove.n.02,79
goggles.n.01,221
helmet.n.02,88
house.n.01,93
lamp.n.02,197
lawn.n.01,40
cushion.n.02,171
plant.n.02,96
shelf.n.01,111
spaceship.n.01,118
spacesuit.n.01,66
technology.n.03,53
toy.n.01,215
tree.n.01,17
drawing.n.01,227
window.n.01,148
text.n.01,89
glass.n.01,43
eyeglass.n.01,109
child.n.01,266
man.n.01,422
creature.n.01,111
scientist.n.01,98
villain.n.01,106
face.n.01,645
eye.n.01,588
nose.n.01,489
mouth.n.01,587
body.n.01,646
hand.n.01,652
foot.n.01,369
wall.n.01,441
ceiling.n.01,19
floor.n.01,247
ground.n.01,74
outside.n.01,42
sky.n.01,102
ask.v.02,46
laugh.v.01,35
look.v.01,352
read.v.01,136
walk.v.01,58
sit.v.01,222
stand.v.01,264
talk.v.01,251
yell.v.01,21
physical_entity.n.01,750
whole.n.02,742
artifact.n.01,741
instrumentality.n.03,554
equipment.n.01,75
furniture.n.01,256
creation.n.02,294
organism.n.01,179
woody_plant.n.01,63
device.n.01,375
structure.n.01,524
barrier.n.01,138
covering.n.02,232
clothing.n.01,186
location.n.01,81
communication.n.02,243
matter.n.03,129
person.n.01,606
body_part.n.01,692
external_body_part.n.01,691
sense_organ.n.01,628
extremity.n.05,666
surface.n.01,259
communicate.v.02,260
